annotation,act,agent,criterion,type
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/anno_1,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/anno_1,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek3/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek3/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek4/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek4/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek4/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek4/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek5/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek10/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek6/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek5/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek6/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek5/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek7/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek6/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
