ekph,iconicReferent,identifiedResource
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek8_canvas10,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek8/iconic_ref,https://www.wikidata.org/wiki/Q15844756
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek9_canvas10,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek9/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek1_canvas11,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek1/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek2_canvas11,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek2/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek3_canvas12,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek3/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek4_canvas12,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek4/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek5_canvas12,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek5/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek1_canvas15,https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek1/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek2_canvas16,https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek2/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek3_canvas17,https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek3/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek4_canvas19,https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek4/iconic_ref,https://www.wikidata.org/wiki/Q153441
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek1_canvas7,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek1/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2_canvas7,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2/iconic_ref,https://www.wikidata.org/wiki/Q1109475
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek3_canvas8,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek3/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek4_canvas8,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek4/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek5_canvas9,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek5/iconic_ref,https://www.wikidata.org/wiki/Q3842621
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek6_canvas10,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek6/iconic_ref,https://www.wikidata.org/wiki/Q1237596
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek10_canvas21,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek10/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek11_canvas21,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek11/iconic_ref,https://www.wikidata.org/wiki/Q17582528
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek12_canvas24,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek12/iconic_ref,https://www.wikidata.org/wiki/Q23929171
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek13_canvas24,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek13/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek14_canvas24,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek14/iconic_ref,https://www.wikidata.org/wiki/Q32904843
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek1_canvas3,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek1/iconic_ref,https://www.wikidata.org/wiki/Q3276414
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek1_canvas4,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek1/iconic_ref,https://www.wikidata.org/wiki/Q3276414
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek2_canvas9,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek2/iconic_ref,https://www.wikidata.org/wiki/Q18572427
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek3_canvas9,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek3/iconic_ref,https://www.wikidata.org/wiki/Q7759428
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek4_canvas10,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek4/iconic_ref,https://www.wikidata.org/wiki/Q79405816
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek4_canvas9,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek4/iconic_ref,https://www.wikidata.org/wiki/Q79405816
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek5_canvas10,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek5/iconic_ref,https://www.wikidata.org/wiki/Q20268270
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek6_canvas10,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek6/iconic_ref,https://www.wikidata.org/wiki/Q23948997
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek7_canvas10,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek7/iconic_ref,https://www.wikidata.org/wiki/Q110812295
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek8_canvas21,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek8/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek9_canvas21,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek9/iconic_ref,https://www.wikidata.org/wiki/Q16327457
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek10_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek10/iconic_ref,https://www.wikidata.org/wiki/Q3947516
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek11_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek11/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek12_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek12/iconic_ref,https://www.wikidata.org/wiki/Q133284679
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek12_canvas9,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek12/iconic_ref,https://www.wikidata.org/wiki/Q133284679
