annotation,bodyValue,facsimileTargets,imageTargets
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek5/anno_0,"Il dio Ermafrodito,chiamato in seguito l'Idolo Ermafrodito","https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=169,1515,1428,68 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=159,1440,1398,62",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek6/anno_0,Madre e figlio,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=169,1515,1428,68",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek7/anno_0,Solitudine;,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=169,1515,1428,68",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek8/anno_0,la Musa metafisica;,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=169,1515,1428,68",
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek9/anno_0,La Natura morta con la squadra,"https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=171,1594,1386,62 | https://dl.ficlit.unibo.it/iiif/2/19310/canvas/p13#xywh=169,1515,1428,68",
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1/anno_0,"Sopra il divanaccio del corridoio, in una scarsa luce, è appeso l'autoritratto del '54: ""Degas à la palette"".","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=201,539,1450,52 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p3#xywh=171,1715,142,36 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p3#xywh=173,1825,1412,47 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p3#xywh=248,1753,1361,41 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=207,463,1412,58",
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1/anno_1,"Il giovanotto di vent'anni, ben dotato per la pittura, vi si affaccia e dichiara con la serietà, gravità d'impegno che resteranno l'insegna della sua vita","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p3#xywh=170,1905,1433,39 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p3#xywh=173,1825,1412,47",
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek2/anno_0,"È dello stesso anno 1854, un altro autoritratto di Degas, al Louvre,","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=217,1599,1416,54 | "," | https://wd-image-positions.toolforge.org/iiif/Q3630723/P18/canvas/c0.json#xywh=9,3,440,563"
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek2/anno_1,"(lo stesso modello con viso di meticcio, di ""meridionale"" appassionato) in cui traspare, quasi ancor maggiormente che nel ""Degas à la palette"", se si può dire, il pathos pesante e costipato, tra il volto, l'eleganza lo chic romantico dell'abito","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=199,1683,1444,42 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=1487,1719,128,38 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=217,1599,1416,54 |  | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=195,1757,1428,42 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=191,1827,1448,62"," | https://wd-image-positions.toolforge.org/iiif/Q3630723/P18/canvas/c0.json#xywh=127,33,177,298"
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek2/anno_2,"una sorta di abbandono e dimenticanza nelle mani, che stringono un pennello, o la matita,","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=207,1909,925,50 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p4#xywh=191,1827,1448,62 | "," | https://wd-image-positions.toolforge.org/iiif/Q3630723/P18/canvas/c0.json#xywh=286,339,151,216"
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek3/anno_0,"""Henri Valpinçon enfant."" È un bimbo nella carrozzella, con la nutrice vicina. Sono in un prato","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p5#xywh=159,1221,1430,42 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p5#xywh=161,1147,1396,50",
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek3/anno_1,"Verdi  di erba,  grigi di tortora; un azzurro sbiadito.","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p5#xywh=159,1381,68,31 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p5#xywh=195,1343,94,36 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p5#xywh=227,1377,1376,40",
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek4/anno_0,"la ""Danseuse rattachant son chaus- son"""," | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p7#xywh=157,690,1442,54 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p7#xywh=161,774,1416,37","https://wd-image-positions.toolforge.org/iiif/Q66605826/P18/canvas/c0.json#xywh=868,785,615,720 | "
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek5/anno_0,"le ""Danseuses vertes""","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p7#xywh=161,774,1416,37",
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek5/anno_1,"Le fanciulle in tutù, le figurette femminili vivono solo per quel poco di garza rosa, di nastri celestini, dentro i modellati segnati di lividi, di am- maccature. Divengono serie di farfalle rare. Fiori di carta. Il colore, fanatico, fa il resto, confonden- do la verità di passioni e di pensieri.","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p7#xywh=161,1214,1436,60 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p7#xywh=159,1370,1438,50 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p7#xywh=161,1288,1414,58 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p7#xywh=147,1444,1452,56",
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek6/anno_0,Danseuses au foyer," | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p7#xywh=161,774,1416,37","https://wd-image-positions.toolforge.org/iiif/Q64223637/P18/canvas/c0.json#xywh=357,16,789,507 | "
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek7/anno_0,"nella bizzarra eleganza si- mile ad idolo indù,","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p7#xywh=161,774,1416,37 | https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p7#xywh=163,851,627,36",
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek7/anno_1,"""Danseuse rose""","https://dl.ficlit.unibo.it/iiif/2/19318/canvas/p7#xywh=163,851,627,36",
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek1/anno_0,"giovani fanciulli, creature intraviste.","https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p5#xywh=156,2004,122,34 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p5#xywh=302,2030,1048,40",
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek1/anno_1,"Matita o pennello, tremano appena.","https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p5#xywh=302,2030,1048,40",
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek1/anno_2,"Sono i suoi celebri ""nudi"".","https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p5#xywh=1350,2031,192,36 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p5#xywh=1307,1967,100,54 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p5#xywh=162,2089,128,48",
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek2/anno_0,"""Homma- ge à Watteau"". In una larga strada: una periferia, o un sobborgo di piccole case,","https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=162,1558,1432,60 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=150,1479,1450,61",
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek2/anno_1,"coppie di coniu- gi coi bambini per mano; e due signore da sole, e una ragazzina","https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=162,1643,1406,45 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=162,1558,1432,60",
